nome,preco,unidade,unidade_original,taco_codigo,taco_nome,similaridade,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,gorduras_trans,fibra,sodio
ABACATE,5.999999999999999,KG,Kilo,163,"Abacate, cru",0.6611,96.1547086956522,6.0308695652173965,1.2391304347826086,8.396666666666667,0.0,0,14.683333333333332,0.0
ABACAXI,8.299999999999999,KG,Kilo,164,"Abacaxi, cru",0.6611,48.32221304347824,12.33463768115941,0.8586956521739131,0.12333333333333334,0.0,0,18.44,0.0
ABÓBORA CABOTIÃ,5.0,KG,Kilo,65,"Abóbora, cabotian, crua",0.5417,38.59929420289856,8.360289855072468,1.7463768115942029,0.5366666666666667,0.0,0,8.82,0.0
abobora paulista,4.49,KG,Kilo,65,"Abóbora, cabotian, crua",0.65,38.59929420289856,8.360289855072468,1.7463768115942029,0.5366666666666667,0.0,0,8.82,0.0
ABOBRINHA,11.899999999999999,KG,Kilo,71,"Abobrinha, italiana, crua",0.4838,19.279126086956484,4.292028985507236,1.141304347826087,0.14,0.0,0,19.946666666666662,0.0
ABOBRINHA ITALIANA,6.99,KG,Kilo,71,"Abobrinha, italiana, crua",0.8132,19.279126086956484,4.292028985507236,1.141304347826087,0.14,0.0,0,19.946666666666662,0.0
AÇAFRÃO (FLOR DE AÇAFRÃO),40.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
AÇAFRÃO DA TERRA (SEM MISTURA)=CURCUMA,133.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ACELGA 150g,53.3,KG,Kilo,74,"Acelga, crua",0.6453,20.942342499999942,4.630916666666657,1.44375,0.106,0.0,0,10.395333333333333,1.1806666666666668
ACÉM COM OSSO,24.99,KG,Kilo,373,"Carne, bovina, paleta, com gordura, crua",0.75,158.7099,0.0,21.41,7.46,58.26166666666666,0,14.15,64.9
ACEROLA,2.9999999999999996,KG,Kilo,169,"Acerola, crua",0.6521,33.46227000000003,7.966416666666672,0.90625,0.20766666666666667,0.0,0,13.133333333333335,0.0
AÇUCAR CRISTAL 5KG,3.4899999999999998,KG,kILO,492,"Açúcar, cristal",1.0,386.84572399999996,99.61,0.32,0.0,0.0,0,1.0066666666666668,0.0
AÇUCAR DE CÔCO,45.0,KG,Kilo,493,"Açúcar, mascavo",0.5267,368.55482252438867,94.45,0.7583333333333333,0.09200000000000001,0.0,0,79.94666666666667,25.203999999999997
AÇUCAR DEMERARA,9.29,KG,Kilo,493,"Açúcar, mascavo",0.5115,368.55482252438867,94.45,0.7583333333333333,0.09200000000000001,0.0,0,79.94666666666667,25.203999999999997
AÇUCAR MASCAVO,13.899999999999999,KG,Kilo,493,"Açúcar, mascavo",1.0,368.55482252438867,94.45,0.7583333333333333,0.09200000000000001,0.0,0,79.94666666666667,25.203999999999997
ADESIVOS MARMITAS 5X10CM C/300UNDS,120.0,UN,Cartela,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADESIVOS REDONDO SALADAS 7CM C/300UNDS,118.0,UN,Cartela,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADESIVOS REDONDOS SOPAS 7CM C/300UNDS,118.0,UN,Cartela,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADESIVOS SUCO 4X8CM C/300UNDS,77.0,UN,Cartela,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADOÇANTE ERITRITOL,79.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADOÇANTE STÉVIA REFINADA,200.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ADOÇANTE XILITOL,57.99999999999999,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
AGRIÃO 150g,41.5,KG,Kilo,75,"Agrião, cru",0.655,16.578801449275325,2.2515942028985423,2.6884057971014492,0.23666666666666666,0.0,0,18.16333333333333,7.4623333333333335
